protein  tp  fp  interface_residues  F_Score
1ACB.E   2   11  13                  .153
1ACB.I   3   8   11                  .272
1AHW.A   6   14  20                  .300
1AK4.A   1   8   9                   .111
1AVX.A   1   18  19                  .052
1AY7.A   1   8   9                   .111
1AY7.B   1   8   9                   .111
1BGX.H   2   29  31                  .064
1DE4.E   6   15  21                  .285
1DFJ.E   1   17  18                  .055
1DFJ.I   0   18  18                  0
1DQJ.A   1   17  18                  .055
1E4K.C   2   10  12                  .166
1E6J.H   0   7   7                   0
1EXB.E   1   2   3                   .333
1F34.A   3   20  23                  .130
1FC2.D   2   8   10                  .200
1FFW.A   0   8   8                   0
1FFW.B   0   10  10                  0
1FLE.E   0   11  11                  0
1GHQ.A   1   4   5                   .200
1GXD.A   0   21  21                  0
1GXD.C   2   16  18                  .111
1IRA.X   1   22  23                  .043
1JIW.I   1   14  15                  .066
1JIW.P   0   20  20                  0
1JPS.H   0   16  16                  0
1KAC.A   0   9   9                   0
1KAC.B   1   11  12                  .083
1KLU.D   0   11  11                  0
Global F_score = .090
Average F_score = 0.0906563
